Date,City,State,Scenario,Latitude,Longitude,AQI,PM2.5,PM10,NO2,CO,Temperature,Humidity,WindSpeed,Traffic,ConstructionActivity,IndustrialActivity,RiskZone,Hotspot
01-07-2026,Delhi,Delhi,Normal,28.6139,77.209,315,177,293,82,2.38,35,58,10,High,High,High,Very Poor,TRUE
02-07-2026,Delhi,Delhi,Normal,28.6139,77.209,318,178,295,82,2.4,35,58,10,High,High,High,Very Poor,TRUE
03-07-2026,Delhi,Delhi,Normal,28.6139,77.209,321,179,297,82,2.42,35,58,10,High,High,High,Very Poor,TRUE
04-07-2026,Delhi,Delhi,Normal,28.6139,77.209,324,181,299,83,2.43,35,58,10,High,High,High,Very Poor,TRUE
05-07-2026,Delhi,Delhi,Normal,28.6139,77.209,315,177,293,82,2.38,35,58,10,High,High,High,Very Poor,TRUE
06-07-2026,Delhi,Delhi,Normal,28.6139,77.209,318,178,295,82,2.4,35,58,10,High,High,High,Very Poor,TRUE
07-07-2026,Delhi,Delhi,Normal,28.6139,77.209,321,179,297,82,2.42,35,58,10,High,High,High,Very Poor,TRUE
01-07-2026,Delhi,Delhi,Festival,28.6139,77.209,385,214,348,94,2.73,36,55,8,High,High,High,Very Poor,TRUE
02-07-2026,Delhi,Delhi,Festival,28.6139,77.209,388,216,351,94,2.75,36,55,8,High,High,High,Very Poor,TRUE
03-07-2026,Delhi,Delhi,Festival,28.6139,77.209,391,218,353,95,2.76,36,55,8,High,High,High,Very Poor,TRUE
04-07-2026,Delhi,Delhi,Festival,28.6139,77.209,394,219,355,95,2.78,36,55,8,High,High,High,Very Poor,TRUE
05-07-2026,Delhi,Delhi,Festival,28.6139,77.209,385,214,348,94,2.73,36,55,8,High,High,High,Very Poor,TRUE
06-07-2026,Delhi,Delhi,Festival,28.6139,77.209,388,216,351,94,2.75,36,55,8,High,High,High,Very Poor,TRUE
07-07-2026,Delhi,Delhi,Festival,28.6139,77.209,391,218,353,95,2.76,36,55,8,High,High,High,Very Poor,TRUE
01-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,255,144,245,71,2.08,34,66,14,Low,High,High,Poor,TRUE
02-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,258,145,247,72,2.1,34,66,14,Low,High,High,Poor,TRUE
03-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,261,147,250,72,2.11,34,66,14,Low,High,High,Poor,TRUE
04-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,264,149,252,73,2.13,34,66,14,Low,High,High,Poor,TRUE
05-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,255,144,245,71,2.08,34,66,14,Low,High,High,Poor,TRUE
06-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,258,145,247,72,2.1,34,66,14,Low,High,High,Poor,TRUE
07-07-2026,Delhi,Delhi,Rainy,28.6139,77.209,261,147,250,72,2.11,34,66,14,Low,High,High,Poor,TRUE
01-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,355,198,324,88,2.58,35,58,10,High,High,High,Very Poor,TRUE
02-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,358,200,327,89,2.6,35,58,10,High,High,High,Very Poor,TRUE
03-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,361,201,329,89,2.61,35,58,10,High,High,High,Very Poor,TRUE
04-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,364,203,331,90,2.63,35,58,10,High,High,High,Very Poor,TRUE
05-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,355,198,324,88,2.58,35,58,10,High,High,High,Very Poor,TRUE
06-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,358,200,327,89,2.6,35,58,10,High,High,High,Very Poor,TRUE
07-07-2026,Delhi,Delhi,Industrial Peak,28.6139,77.209,361,201,329,89,2.61,35,58,10,High,High,High,Very Poor,TRUE
01-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,159,67,124,42,1.09,31,78,18,High,Medium,Medium,Moderate,FALSE
02-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,162,68,126,42,1.1,31,78,18,High,Medium,Medium,Moderate,FALSE
03-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,165,69,128,42,1.11,31,78,18,High,Medium,Medium,Moderate,FALSE
04-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,168,71,130,43,1.13,31,78,18,High,Medium,Medium,Moderate,FALSE
05-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,159,67,124,42,1.09,31,78,18,High,Medium,Medium,Moderate,FALSE
06-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,162,68,126,42,1.1,31,78,18,High,Medium,Medium,Moderate,FALSE
07-07-2026,Mumbai,Maharashtra,Normal,19.076,72.8777,165,69,128,42,1.11,31,78,18,High,Medium,Medium,Moderate,FALSE
01-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,229,104,179,54,1.44,32,75,16,High,Medium,Medium,Poor,TRUE
02-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,232,106,182,54,1.45,32,75,16,High,Medium,Medium,Poor,TRUE
03-07-2026,Mumbai,Maharashtra,Festival,19.076,72.8777,235,108,184,55,1.47,32,75,16,High,Medium,Medium,Poor,TRUE
